host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,price,has_availability,review_scores_rating,instant_bookable,reviews_per_month
100%,76%,f,t,t,288,t,4.3,t,0.49
100%,76%,f,t,t,304,t,4.86,t,0.43
90%,100%,f,t,f,140,t,4.72,t,0.69
100%,99%,t,t,f,212,t,4.77,t,1.41
100%,77%,t,t,t,170,t,4.88,f,1.93
100%,96%,t,t,t,253,t,4.92,t,2.23
100%,99%,f,t,t,216,t,4.75,t,0.07
100%,100%,t,t,t,156,t,5,t,1.58
83%,13%,f,t,t,513,t,5,f,0.24
100%,99%,f,t,t,204,t,4.82,t,1.75
100%,100%,t,t,t,364,t,4.98,f,2.57
100%,99%,f,t,t,609,t,5,t,0.07
100%,99%,f,t,t,939,t,4,t,0.02
100%,100%,f,t,t,212,t,4.5,t,4.35
99%,100%,t,t,t,126,t,4.79,t,2.05
100%,86%,f,t,t,243,t,4.38,t,0.88
80%,100%,f,t,t,368,t,4.83,t,0.1
100%,99%,t,t,t,369,t,4.97,f,2.46
100%,94%,f,t,t,540,t,4,t,0.06
100%,100%,f,t,t,223,t,4.3,t,0.49
100%,63%,f,t,f,65,t,4.77,f,0.68
100%,99%,t,t,t,312,t,4.75,t,0.26
100%,94%,f,t,t,249,t,4.8,f,0.61
63%,92%,f,t,t,329,t,5,t,0.09
98%,99%,f,t,t,139,t,4.73,t,1.01
100%,97%,t,t,t,239,t,4.5,t,0.1
99%,51%,t,t,t,336,t,5,f,0.47
100%,59%,t,t,t,600,t,5,f,0.06
100%,99%,t,t,t,188,t,4.9,t,1.05
100%,97%,t,t,t,2200,t,5,f,0.2
100%,99%,f,t,t,423,t,5,t,0.06
67%,100%,t,t,t,549,t,4.71,t,0.09
91%,100%,f,t,t,401,t,5,t,0.88
100%,99%,t,t,f,364,t,5,t,0.27
100%,99%,t,t,t,180,t,4.95,t,0.28
100%,99%,f,t,t,1086,t,5,t,0.16
100%,100%,t,t,t,544,t,4.5,t,0.13
100%,85%,f,t,f,233,t,4.66,f,0.48
97%,16%,f,t,t,296,t,5,f,0.12
98%,17%,f,t,t,378,t,4.5,f,0.09
97%,16%,f,t,t,296,t,5,f,0.11
93%,89%,f,t,t,127,t,4.14,f,0.14
100%,99%,t,t,t,341,t,4.88,t,0.33
100%,100%,t,t,f,293,t,4.86,f,2.14
100%,98%,f,t,t,1140,t,4.75,f,1.03
100%,100%,t,t,t,2157,t,5,t,0.49
96%,98%,f,t,t,124,t,4.73,t,1.97
100%,100%,f,t,t,195,t,4.96,f,1.4
100%,99%,f,t,t,228,t,4.88,t,0.52
100%,82%,t,t,t,178,t,4.71,f,0.71
100%,100%,f,t,t,315,t,1,t,0.11
100%,100%,f,t,f,312,t,4.5,t,0.3
98%,17%,f,t,t,268,t,5,f,0.12
100%,97%,t,t,t,693,t,4.67,t,0.87
100%,99%,f,t,t,173,t,4.36,t,0.54
50%,100%,f,t,f,209,t,4.33,t,0.15
100%,100%,f,t,t,340,t,2,t,0.07
100%,100%,f,t,t,266,t,4.8,t,1.02
100%,100%,t,t,t,118,t,4.92,t,2.86
