host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,price,has_availability,review_scores_rating,instant_bookable,reviews_per_month
100%,0%,f,t,t,160,t,5,f,0.03
100%,100%,f,t,t,443,t,5,f,1.22
100%,100%,f,t,t,284,t,5,t,0.28
92%,62%,t,t,t,124,t,4.5,f,0.69
100%,100%,f,t,t,299,t,4.62,t,0.66
100%,76%,f,t,t,258,t,4.68,t,0.88
100%,98%,t,t,t,225,t,5,t,2.79
100%,100%,t,t,t,212,t,4.93,f,3.34
100%,98%,t,t,t,320,t,4.83,f,1.99
100%,100%,t,t,t,275,t,5,t,6.79
100%,99%,t,t,t,176,t,4.92,t,4.19
100%,93%,t,t,f,103,t,4.96,t,1.45
97%,100%,f,t,t,31,t,4.55,t,4.39
100%,100%,t,t,f,217,t,4.95,f,2.1
100%,99%,t,t,t,151,t,5,t,1.2
100%,98%,t,t,t,345,t,3.71,t,0.53
100%,100%,f,t,t,63,t,5,t,4.59
100%,97%,t,t,t,9890,t,4,f,0.03
100%,97%,t,t,f,399,t,4.7,f,1.38
100%,100%,f,t,f,783,t,5,t,0.05
100%,97%,t,t,t,7601,t,5,f,0.03
100%,100%,t,t,t,211,t,4.88,t,4.77
100%,93%,f,t,t,129,t,4.39,t,0.65
100%,76%,f,t,t,228,t,4.94,t,0.68
100%,96%,t,t,t,325,t,5,f,2.15
100%,97%,t,t,t,4118,t,5,f,0.03
100%,100%,t,t,t,59,t,4.95,t,2.39
100%,100%,f,t,t,100,t,4.95,f,0.24
100%,99%,f,t,t,1495,t,5,t,0.05
100%,99%,f,t,t,352,t,5,t,0.03
100%,96%,t,t,t,299,t,5,f,0.57
100%,96%,t,t,t,249,t,4.89,f,0.25
100%,96%,t,t,t,329,t,4.92,f,0.36
100%,71%,f,t,t,100,t,4.23,t,0.26
100%,100%,t,t,f,279,t,4.96,f,2.3
100%,96%,t,t,t,314,t,4.85,f,0.96
100%,92%,t,t,f,446,t,5,f,0.37
100%,76%,f,t,t,229,t,5,t,0.34
100%,96%,f,t,t,73,t,3.67,t,0.38
100%,96%,f,t,t,71,t,4.18,t,0.3
96%,79%,t,t,t,222,t,5,f,0.05
100%,97%,t,t,t,598,t,5,t,0.28
100%,100%,t,t,t,249,t,4.96,f,1.33
100%,100%,f,t,f,200,t,4.5,t,0.53
100%,91%,f,t,t,195,t,4.78,f,2.02
100%,68%,t,t,t,200,t,4.95,f,0.64
100%,100%,f,t,t,197,t,4,t,0.13
100%,100%,t,t,t,277,t,4.82,t,4.25
100%,99%,t,t,t,156,t,4.75,f,2.66
100%,96%,f,t,t,179,t,4.86,f,0.72
44%,23%,f,t,t,500,t,4.82,f,0.88
100%,98%,t,t,t,100,t,4.91,f,3.58
100%,98%,f,t,t,109,t,4.58,t,2.42
100%,100%,f,t,t,286,t,5,t,0.13
100%,99%,f,t,t,378,t,4.88,t,0.63
100%,100%,f,t,t,943,t,5,t,0.06
71%,90%,f,t,t,150,t,4.74,f,2.07
90%,94%,f,t,t,125,t,4.69,f,0.99
100%,99%,f,t,t,241,t,4.17,t,0.13
100%,97%,t,t,t,585,t,4.97,t,1.54
100%,98%,t,t,t,253,t,4.67,t,0.78
100%,92%,t,t,t,222,t,1,f,0.75
100%,76%,f,t,t,210,t,4.7,t,0.58
100%,96%,t,t,f,358,t,4.89,t,2.36
100%,98%,t,t,t,211,t,5,t,0.75
100%,100%,t,t,f,298,t,4.87,f,4.04
100%,99%,f,t,t,843,t,4.88,t,0.59
100%,99%,f,t,t,1039,t,4,t,0.08
100%,85%,t,t,t,1179,t,5,f,0.24
100%,99%,t,t,t,419,t,4.92,t,2.84
100%,96%,t,t,t,238,t,4.92,f,0.36
60%,19%,f,t,t,190,t,5,f,0.27
100%,99%,t,t,t,207,t,4.93,f,1.83
100%,99%,t,t,t,424,t,5,t,0.34
96%,55%,t,t,t,246,t,4.67,f,0.37
100%,99%,t,t,t,377,t,4.91,t,0.63
95%,65%,t,t,t,203,t,5,f,0.12
100%,100%,t,t,t,355,t,4.27,t,0.19
100%,94%,t,t,t,295,t,4.45,f,1.94
100%,100%,t,t,t,353,t,4.9,t,0.88
100%,99%,t,t,t,189,t,4.78,t,1.21
100%,88%,f,t,t,757,t,5,t,0.06
100%,100%,t,t,f,590,t,4.98,t,1.02
60%,19%,f,t,t,229,t,5,f,0.07
44%,23%,f,t,t,120,t,5,f,0.11
100%,99%,t,t,t,1702,t,4.89,t,0.3
100%,100%,f,t,t,821,t,4.98,f,0.66
100%,100%,t,t,t,360,t,5,t,0.09
100%,92%,t,t,t,420,t,5,f,0.29
100%,94%,t,t,t,286,t,4.87,f,2.81
100%,100%,t,t,t,110,t,5,f,0.22
100%,76%,f,t,t,207,t,4.85,t,0.94
100%,100%,t,t,t,246,t,4.91,f,3
100%,100%,t,t,t,270,t,4.88,t,0.6
100%,96%,t,t,f,213,t,4.96,f,3.39
100%,98%,f,t,t,559,t,4.94,f,2.23
60%,19%,f,t,t,190,t,5,f,0.06
100%,99%,t,t,t,197,t,4.69,t,0.61
100%,100%,f,t,t,209,t,4.92,f,0.34
100%,99%,t,t,t,337,t,4.71,t,0.3
84%,4%,f,t,t,84,t,4.78,f,0.17
100%,98%,t,t,t,767,t,4.98,f,2.66
100%,96%,t,t,t,399,t,4.67,f,0.07
100%,99%,f,t,t,194,t,4.75,t,0.94
100%,100%,t,t,f,125,t,4.78,f,0.35
100%,99%,f,t,t,266,t,5,t,0.03
100%,76%,f,t,t,162,t,4.62,t,0.42
100%,93%,f,t,t,186,t,4.29,t,0.56
100%,100%,f,t,f,281,t,5,t,0.14
100%,97%,t,t,t,445,t,4.7,f,0.5
100%,100%,f,t,f,270,t,5,t,0.07
100%,98%,f,t,t,60,t,4.75,f,2.67
100%,98%,f,t,t,71,t,4.56,f,1.52
100%,100%,f,t,f,100,t,5,t,0.07
99%,100%,t,t,t,200,t,4.76,f,2.71
100%,99%,f,t,t,390,t,4.86,t,0.29
100%,69%,f,t,t,577,t,5,f,0.12
100%,97%,t,t,t,499,t,4.62,f,1.17
100%,99%,t,t,t,356,t,5,t,0.32
100%,99%,f,t,t,372,t,4.9,t,0.68
100%,97%,t,t,t,164,t,4.59,t,1.03
100%,99%,f,t,t,323,t,4.88,t,0.32
80%,44%,f,t,t,1003,t,5,f,0.14
100%,99%,t,t,t,399,t,5,t,0.36
100%,99%,f,t,t,1270,t,4.5,t,0.04
100%,96%,t,t,t,174,t,4.62,f,1.11
100%,100%,t,t,t,453,t,4.95,f,0.86
90%,53%,f,t,t,1536,t,4.5,f,0.07
100%,88%,t,t,t,415,t,4.73,f,1.3
100%,97%,t,t,t,235,t,5,f,2.49
80%,91%,t,t,t,804,t,5,t,0.08
100%,99%,t,t,t,165,t,4.78,t,0.82
98%,68%,t,t,t,272,t,5,t,0.08
100%,99%,t,t,t,138,t,4.83,t,0.4
100%,100%,f,t,t,237,t,4.95,t,1.02
100%,96%,t,t,t,332,t,4.68,f,0.18
100%,100%,t,t,t,2347,t,5,t,0.08
100%,76%,f,t,t,184,t,4.8,t,1.02
89%,99%,f,t,f,285,t,4.83,t,0.38
100%,76%,f,t,t,235,t,4.81,t,0.57
100%,100%,t,t,t,259,t,4.88,f,1.07
100%,96%,t,t,t,203,t,4.91,f,0.65
100%,99%,t,t,t,158,t,4.58,t,3.6
100%,100%,f,t,t,292,t,4.76,t,1.18
90%,100%,f,t,t,489,t,5,t,0.05
100%,100%,t,t,t,376,t,4.86,f,0.42
100%,100%,t,t,t,207,t,4.92,f,1.66
90%,100%,f,t,t,503,t,5,t,0.2
90%,100%,f,t,t,999,t,5,t,0.06
100%,100%,t,t,t,219,t,4.88,t,3.36
100%,99%,f,t,t,1700,t,4.92,t,0.22
98%,68%,t,t,t,455,t,5,f,0.52
100%,99%,t,t,t,291,t,4.73,f,2.72
92%,62%,t,t,t,184,t,5,f,0.27
92%,62%,t,t,t,269,t,5,f,0.17
100%,100%,f,t,t,234,t,4.75,f,2.72
100%,76%,f,t,t,210,t,4.87,t,0.79
100%,97%,f,t,t,325,t,4.78,f,2.98
100%,99%,f,t,t,211,t,4.65,t,3.14
92%,62%,t,t,t,341,t,5,f,0.2
100%,81%,t,t,t,158,t,5,f,0.71
95%,65%,t,t,t,186,t,4.63,f,1.1
96%,98%,f,t,t,185,t,4.86,t,0.47
100%,98%,t,t,t,795,t,5,t,0.42
100%,99%,f,t,t,276,t,4.56,t,2.54
100%,100%,f,t,t,143,t,4.32,t,3.51
95%,65%,t,t,t,236,t,5,f,0.39
95%,65%,t,t,t,236,t,5,f,0.37
95%,82%,f,t,t,122,t,5,f,0.19
98%,23%,f,t,t,262,t,4.86,f,0.71
100%,100%,f,t,t,443,t,5,f,0.12
98%,23%,f,t,t,292,t,5,f,0.15
95%,82%,f,t,t,132,t,4.86,f,1.47
100%,99%,t,t,t,387,t,5,t,0.46
100%,96%,f,t,t,100,t,4.44,t,1.08
95%,82%,f,t,t,180,t,5,f,0.27
100%,100%,f,t,t,119,t,4.53,f,1.02
100%,100%,t,t,f,370,t,4.87,t,2.71
95%,65%,t,t,t,310,t,5,f,0.06
100%,100%,t,t,t,344,t,4.79,f,2.15
100%,72%,f,t,t,183,t,4.5,f,1.89
100%,100%,f,t,t,113,t,4.8,f,1.88
100%,69%,f,t,t,379,t,4,f,0.25
100%,97%,f,t,t,157,t,4.93,f,2.15
100%,100%,t,t,t,160,t,4.67,f,0.14
100%,92%,f,t,t,711,t,4.87,f,0.7
100%,97%,t,t,t,157,t,4.91,t,1.13
100%,96%,f,t,t,65,t,3.6,t,0.21
100%,99%,f,t,t,129,t,4.25,t,1.22
88%,64%,t,t,t,174,t,5,f,0.4
100%,99%,t,t,t,83,t,4.91,t,3.34
100%,99%,t,t,t,134,t,4.92,f,2.81
96%,98%,f,t,t,208,t,4.59,t,1.05
100%,67%,f,t,t,159,t,4.57,f,0.39
90%,100%,f,t,t,105,t,4.75,t,4.42
100%,100%,t,t,t,464,t,4.89,t,1.84
100%,69%,f,t,t,229,t,5,f,0.58
92%,62%,t,t,t,276,t,5,f,0.46
99%,100%,t,t,t,797,t,4.78,t,2.4
100%,97%,t,t,t,180,t,4.79,t,2.14
100%,100%,t,t,t,417,t,5,f,2.11
87%,99%,f,t,t,99,t,4.87,t,1.52
100%,100%,f,t,t,382,t,4.79,f,1.29
100%,100%,t,t,t,214,t,4.74,f,1.75
100%,97%,t,t,f,161,t,4.84,f,0.98
100%,100%,f,t,t,105,t,4.58,t,0.86
100%,100%,f,t,t,360,t,4.64,t,2.02
100%,100%,f,t,t,133,t,4.55,t,4.91
100%,100%,f,t,t,153,t,4.4,t,0.35
100%,100%,f,t,t,84,t,4.62,t,5.55
100%,100%,t,t,t,545,t,4.82,t,1.81
100%,100%,f,t,t,90,t,4.08,t,0.69
100%,100%,f,t,t,119,t,4.63,t,6.3
100%,100%,t,t,t,240,t,4.75,t,1.9
100%,95%,t,t,t,125,t,4.93,f,1.84
100%,85%,t,t,t,550,t,5,t,0.58
100%,93%,t,t,f,258,t,4.9,f,0.13
97%,100%,f,t,t,68,t,4.67,t,4.92
100%,100%,f,t,t,198,t,4,f,0.44
100%,99%,t,t,t,250,t,4.8,f,0.41
100%,100%,t,t,f,70,t,4.72,t,0.96
100%,96%,t,t,t,279,t,4.78,f,0.26
100%,98%,f,t,t,685,t,5,t,0.37
100%,96%,t,t,t,339,t,5,f,2.45
100%,97%,t,t,t,357,t,4.79,t,0.56
100%,100%,t,t,t,144,t,4.95,f,3.66
100%,100%,t,t,t,139,t,4.78,t,2.03
100%,98%,t,t,t,56,t,5,f,0.71
50%,100%,f,t,t,109,t,5,t,0.05
100%,100%,f,t,t,452,t,4.89,f,1.44
100%,100%,f,t,t,182,t,4.13,t,0.49
100%,97%,t,t,t,2832,t,5,f,0.09
100%,93%,f,t,t,117,t,4.66,t,0.7
100%,96%,f,t,f,250,t,4.71,f,1.07
100%,96%,t,t,t,165,t,4.97,f,2.02
100%,90%,t,t,t,99,t,4.93,f,1.01
100%,98%,t,t,t,55,t,4.75,t,0.57
100%,99%,t,t,t,99,t,4.8,t,3.9
100%,100%,f,t,t,231,t,5,f,0.54
100%,97%,t,f,t,345,t,4.9,f,2.24
100%,100%,f,t,t,90,t,4.89,t,3.66
100%,100%,t,t,t,140,t,4.98,t,7.28
100%,100%,f,t,t,531,t,5,t,0.02
100%,98%,t,t,t,74,t,4.81,f,1.22
100%,100%,t,t,t,135,t,4.97,f,1.96
67%,0%,f,t,f,1700,t,5,f,0.03
100%,86%,f,t,t,650,t,4.71,t,0.52
100%,98%,t,t,t,234,t,4.93,t,1.64
100%,100%,t,t,t,266,t,4.96,f,2.05
100%,100%,f,t,f,390,t,5,f,0.2
100%,100%,t,t,t,428,t,4.9,t,2.18
100%,97%,t,t,t,200,t,4.86,f,1.14
100%,96%,t,t,t,553,t,4.91,f,1.5
100%,100%,t,t,t,357,t,4.85,f,0.99
89%,99%,f,t,f,505,t,5,t,0.67
100%,100%,t,t,f,170,t,4.98,f,3.12
100%,99%,f,t,t,1495,t,5,t,0.03
100%,100%,f,t,t,468,t,5,t,0.86
98%,21%,t,t,t,263,t,4.33,f,0.88
89%,99%,f,t,f,808,t,4.6,t,0.58
100%,99%,t,t,f,182,t,4.9,t,0.55
100%,99%,t,t,t,149,t,4.83,t,2.59
100%,99%,t,t,t,199,t,4.71,t,1.06
100%,100%,f,t,t,395,t,4.59,t,2.63
100%,100%,f,t,f,281,t,5,t,0.07
89%,99%,f,t,f,489,t,4.7,t,3.9
100%,71%,t,t,t,222,t,4.93,f,1.62
89%,99%,f,t,f,589,t,4.73,t,1.86
100%,100%,t,t,t,133,t,4.9,f,3.31
100%,100%,f,t,t,395,t,4.45,f,0.76
100%,99%,t,t,t,115,t,4.81,f,2.49
100%,79%,t,t,t,281,t,4.95,f,2.03
100%,100%,f,t,t,160,t,4.48,f,3.24
100%,100%,t,t,f,125,t,4.92,f,0.81
100%,99%,t,t,t,190,t,4.93,f,3.52
100%,97%,t,t,t,185,t,4.88,t,1.82
100%,100%,f,t,t,416,t,5,t,0.11
100%,100%,f,t,f,531,t,5,t,0.06
100%,100%,f,t,t,115,t,4.91,f,0.29
100%,100%,t,t,t,117,t,4.95,f,2.67
90%,97%,t,t,t,671,t,4.95,t,1.79
100%,99%,f,t,t,789,t,5,t,0.14
100%,98%,t,t,t,322,t,4,f,1.17
100%,100%,t,t,t,1367,t,4.94,f,1.22
100%,100%,t,t,t,299,t,4.95,t,4.45
100%,96%,t,t,t,629,t,4.96,f,0.41
100%,97%,t,t,t,577,t,5,t,0.66
98%,23%,f,t,t,144,t,4,f,0.57
100%,95%,f,t,t,150,t,4.76,f,0.62
100%,45%,f,t,t,266,t,4.41,t,2.15
100%,100%,f,t,t,127,t,4.55,f,0.77
100%,99%,t,t,t,427,t,4.25,t,0.29
100%,76%,f,t,t,234,t,5,t,0.16
100%,99%,t,t,t,369,t,4.88,t,0.96
100%,75%,f,t,t,520,t,4.86,f,0.22
100%,100%,f,t,f,150,t,5,f,0.08
84%,4%,f,t,t,86,t,4.87,f,0.27
80%,90%,t,t,t,190,t,4.33,f,0.1
100%,76%,f,t,t,224,t,3,t,0.08
100%,100%,t,t,t,240,t,4.81,t,5.19
100%,99%,f,t,t,319,t,5,f,0.2
100%,100%,t,t,t,454,t,5,t,1.46
100%,98%,f,t,t,219,t,4.56,t,1.23
100%,98%,f,t,t,60,t,4.67,f,1.52
100%,99%,t,t,t,371,t,4.9,f,2.3
100%,100%,f,t,t,216,t,4.75,t,2.42
100%,98%,f,t,t,61,t,4.63,f,1.6
100%,100%,t,t,t,92,t,4.97,t,0.52
100%,93%,f,t,t,428,t,4.92,t,0.61
100%,98%,f,t,t,209,t,4.5,t,0.51
100%,99%,f,t,t,337,t,3,t,0.02
100%,98%,f,t,t,60,t,4.67,f,1.24
96%,79%,t,t,t,276,t,5,f,0.34
100%,97%,t,t,t,39,t,5,f,0.52
100%,93%,f,t,t,204,t,4.25,t,0.39
100%,98%,f,t,t,62,t,4.6,f,0.31
100%,100%,t,t,t,261,t,4.95,f,2.19
100%,100%,t,t,t,439,t,4.94,f,2.74
100%,100%,t,t,t,370,t,4.76,t,1.02
100%,100%,f,t,f,233,t,4.77,t,1.35
100%,99%,t,t,t,162,t,4.8,t,0.86
100%,100%,t,t,t,1079,t,4.93,f,0.64
100%,99%,t,t,t,295,t,5,t,0.39
100%,99%,f,t,t,346,t,4.9,t,0.51
100%,99%,f,t,t,870,t,5,t,0.07
100%,81%,f,t,f,308,t,5,f,0.77
100%,99%,f,t,t,470,t,5,t,0.06
100%,100%,f,t,f,94,t,5,f,0.14
100%,98%,f,t,t,413,t,5,t,0.79
100%,99%,f,t,t,725,t,5,t,0.18
98%,68%,t,t,t,381,t,5,t,0.36
100%,98%,t,t,t,4529,t,5,t,0.04
60%,19%,f,t,t,239,t,4.86,f,0.32
100%,100%,t,t,t,939,t,4.89,f,0.56
100%,100%,t,t,t,2080,t,5,t,0.37
100%,100%,f,t,t,272,t,4.89,t,1.12
80%,44%,f,t,t,588,t,5,f,0.01
100%,64%,t,t,t,1095,t,4.7,f,0.3
96%,55%,t,t,t,213,t,4,f,0.45
100%,100%,f,t,t,716,t,5,t,0.2
100%,17%,f,t,t,159,t,4.75,f,0.06
87%,32%,t,t,t,237,t,5,f,0.09
100%,99%,t,t,t,325,t,4.45,t,0.17
100%,100%,t,t,t,1050,t,5,f,1.39
100%,91%,t,t,t,498,t,4.25,f,0.34
100%,99%,f,t,t,261,t,5,t,0.07
100%,99%,f,t,t,360,t,4.09,t,0.19
100%,99%,f,t,t,337,t,4,t,0.09
100%,97%,t,t,t,192,t,4.89,f,2.39
100%,93%,t,t,f,211,t,4.75,f,0.81
100%,100%,f,t,t,199,t,4.29,t,0.65
100%,99%,t,t,t,415,t,3.5,t,0.16
100%,75%,f,t,t,300,t,4.67,f,0.38
100%,97%,t,t,t,714,t,4.65,f,1.5
100%,96%,t,t,t,248,t,4.79,f,0.26
100%,100%,f,t,t,138,t,4.48,f,0.45
100%,96%,t,t,f,442,t,4.8,f,1.91
60%,19%,f,t,t,238,t,4.64,f,1.04
100%,98%,t,t,t,131,t,4.95,t,2.32
100%,98%,t,t,t,2856,t,5,t,0.05
85%,32%,f,t,t,1590,t,4,f,0.04
100%,99%,f,t,t,1700,t,5,t,0.13
100%,99%,f,t,t,1700,t,5,t,0.07
100%,100%,t,t,t,1099,t,5,t,0.11
100%,31%,f,t,t,249,t,5,f,0.06
95%,82%,f,t,t,132,t,5,f,0.35
95%,65%,t,t,t,186,t,4,f,0.32
98%,23%,f,t,t,133,t,5,f,0.1
98%,17%,t,t,t,252,t,5,f,1.15
96%,98%,f,t,t,193,t,4.78,f,2.1
95%,65%,t,t,t,186,t,5,f,0.29
100%,99%,t,t,t,402,t,5,t,3.38
100%,100%,f,t,t,208,t,4.96,t,1.16
100%,100%,t,t,t,293,t,4.71,f,0.6
100%,98%,f,t,t,103,t,4.61,t,2.54
100%,100%,t,t,t,131,t,4.92,f,2.22
92%,62%,t,t,t,233,t,4.33,f,0.68
100%,96%,t,t,t,329,t,4.88,f,0.24
100%,100%,t,t,t,225,t,4.9,f,0.93
100%,96%,t,t,t,299,t,4.89,f,0.26
100%,100%,t,t,t,241,t,4.93,t,1.45
100%,67%,f,t,t,550,t,4.92,f,0.42
100%,98%,t,t,t,475,t,4,t,0.21
100%,100%,f,t,t,95,t,4.45,f,1.47
50%,100%,f,t,t,4300,t,5,f,0.23
90%,100%,f,t,t,999,t,5,t,0.1
100%,100%,t,t,f,363,t,4.94,t,3.1
100%,98%,t,t,t,133,t,4.92,f,3.61
100%,100%,t,t,t,381,t,4.78,f,0.27
95%,65%,t,t,t,236,t,5,f,0.48
98%,23%,f,t,t,209,t,5,f,0.37
95%,65%,t,t,t,236,t,5,f,0.24
95%,65%,t,t,t,236,t,1,f,0.15
100%,99%,f,t,t,185,t,4.56,t,1.85
100%,89%,f,t,t,130,t,4.72,f,0.87
90%,53%,f,t,t,240,t,4.44,f,0.31
96%,99%,f,t,t,218,t,5,t,1
92%,90%,f,t,f,250,t,4.2,f,0.07
96%,99%,f,t,t,303,t,5,t,1.71
100%,99%,f,t,t,131,t,4.5,f,0.26
100%,98%,f,t,t,91,t,4.42,f,1.7
85%,32%,f,t,t,2195,t,4.5,f,0.07
100%,100%,t,t,t,257,t,5,t,0.97
100%,97%,t,t,t,364,t,4.9,f,1.91
100%,96%,t,t,f,384,t,4.83,f,1.12
100%,99%,t,t,t,1854,t,5,t,0.13
100%,69%,f,t,t,199,t,5,f,0.04
100%,100%,f,t,t,400,t,5,f,0.29
100%,99%,t,t,t,222,t,5,t,0.4
100%,98%,f,t,t,50,t,4.67,t,0.87
100%,100%,t,t,t,241,t,4.85,t,4.52
100%,93%,f,t,t,110,t,4.75,f,0.34
98%,68%,t,t,t,499,t,3,f,0.14
100%,98%,t,t,t,595,t,4.77,t,0.4
100%,76%,f,t,t,324,t,4.88,t,0.53
50%,46%,f,t,f,150,t,4.65,f,2.97
100%,99%,t,t,t,232,t,4.95,f,3.27
100%,100%,t,t,t,235,t,4.92,t,3.49
100%,100%,t,t,t,295,t,4.78,f,5.31
100%,98%,t,t,t,345,t,4.81,t,1.67
100%,100%,f,t,t,79,t,4.4,f,0.33
100%,96%,t,t,t,162,t,4.9,t,2.68
98%,68%,t,t,t,350,t,4.83,f,1.21
98%,23%,f,t,t,255,t,4.75,f,0.46
100%,98%,f,t,t,392,t,5,t,1
100%,99%,t,t,t,179,t,5,t,2.16
100%,99%,f,t,t,130,t,5,f,0.38
100%,99%,f,t,t,394,t,4.94,t,0.68
100%,97%,t,t,f,497,t,5,t,0.1
100%,100%,f,t,t,129,t,4.71,f,1.88
100%,89%,f,t,t,116,t,4,f,1
95%,82%,f,t,t,117,t,5,f,0.46
96%,55%,t,t,t,405,t,5,f,0.55
95%,65%,t,t,t,481,t,5,f,0.48
100%,100%,f,f,t,102,t,5,f,0.64
95%,65%,t,t,t,171,t,5,f,0.12
100%,100%,t,t,t,138,t,5,t,0.3
100%,100%,f,t,t,80,t,4.46,t,0.47
90%,100%,f,t,t,192,t,4.56,f,2.1
95%,82%,f,t,t,127,t,4.67,f,0.89
100%,93%,t,t,t,139,t,4.89,t,3.25
100%,100%,t,t,t,120,t,4.84,f,3.14
100%,98%,t,t,t,97,t,4.88,t,1.34
91%,100%,f,t,t,630,t,3,t,0.19
100%,100%,t,t,t,489,t,4.98,f,3.25
100%,99%,f,t,t,101,t,4.54,f,2.96
100%,89%,f,t,t,143,t,4.8,f,0.89
100%,81%,t,t,t,167,t,5,f,0.5
100%,96%,t,t,t,377,t,4.78,f,2.83
99%,100%,f,t,t,45,t,4.35,t,8.02
98%,23%,f,t,t,177,t,4.75,f,0.43
100%,100%,t,t,f,137,t,4.87,t,2.07
100%,100%,f,t,f,135,t,5,t,0.21
100%,100%,t,t,t,131,t,4.88,f,0.56
100%,98%,t,t,t,2495,t,4.75,f,0.11
100%,100%,t,t,t,160,t,5,f,3.67
100%,100%,t,t,t,350,t,4.98,t,1.95
100%,89%,f,t,t,157,t,4.58,f,0.74
100%,99%,f,t,t,362,t,4.57,t,0.47
100%,100%,t,t,t,121,t,4.85,f,2.44
100%,100%,t,t,t,149,t,4.93,t,3.93
98%,23%,f,t,t,194,t,5,f,0.28
98%,17%,t,t,t,283,t,5,f,0.17
100%,99%,f,t,t,311,t,4.78,t,0.56
100%,69%,f,t,t,899,t,5,f,0.59
100%,99%,f,t,t,126,t,4.82,t,2.41
100%,96%,t,t,t,225,t,4.61,f,1.54
100%,100%,f,t,t,126,t,4.6,f,0.08
96%,98%,f,t,t,216,t,4.79,t,2.25
100%,100%,t,t,t,348,t,5,f,1.88
98%,68%,t,t,t,456,t,5,t,0.26
100%,97%,t,t,t,999,t,5,f,0.36
100%,100%,f,t,t,115,t,4.5,f,0.81
96%,91%,t,t,t,818,t,4.9,t,1.82
100%,76%,f,t,t,250,t,4.81,t,0.85
99%,71%,t,t,t,214,t,5,f,0.57
94%,90%,f,t,t,455,t,4.58,f,1.71
100%,89%,f,t,t,128,t,4.5,f,0.75
100%,99%,t,t,t,148,t,4.93,f,3.77
100%,100%,t,t,f,150,t,4.87,f,2.76
100%,99%,f,t,t,451,t,4.75,t,0.45
100%,96%,t,t,t,449,t,4.78,f,0.15
100%,100%,t,t,t,169,t,5,t,0.85
100%,96%,t,t,t,449,t,4.86,f,0.5
100%,97%,t,t,t,619,t,5,t,0.46
100%,98%,t,t,t,151,t,4.92,f,0.14
100%,97%,f,t,t,193,t,5,t,2
100%,99%,t,t,t,861,t,5,t,0.74
100%,100%,f,t,t,90,t,4.36,f,1.26
100%,98%,t,t,t,299,t,5,t,0.24
100%,99%,t,t,t,308,t,5,f,3.61
100%,100%,t,t,t,299,t,4.86,f,0.14
100%,98%,t,t,t,624,t,5,t,0.69
92%,62%,t,t,t,196,t,4.79,f,1.32
87%,39%,f,t,t,252,t,4.94,f,0.58
100%,98%,f,t,t,464,t,4.5,f,0.4
100%,99%,f,t,t,469,t,5,t,0.11
100%,76%,f,t,t,189,t,4.88,t,0.69
100%,100%,f,t,t,182,t,4.8,f,0.74
100%,100%,f,t,t,318,t,4.38,f,0.67
100%,100%,f,t,t,400,t,5,t,2.39
100%,100%,f,t,t,243,t,4.51,f,2.69
100%,100%,t,t,t,169,t,4.75,t,1.66
100%,96%,t,t,t,413,t,4.88,f,1.12
100%,100%,t,t,t,168,t,4.63,f,0.17
100%,100%,t,t,t,122,t,4.84,t,3.61
100%,100%,f,t,t,204,t,4.69,t,0.88
100%,100%,t,t,t,204,t,4.9,t,1.64
100%,100%,t,t,t,219,t,4.97,f,4.34
100%,100%,f,t,f,220,t,4.96,t,1.36
100%,99%,t,t,t,174,t,5,f,4.84
100%,98%,t,t,t,159,t,4.92,f,4.26
100%,100%,f,t,t,74,t,4.6,f,0.9
100%,98%,t,t,t,230,t,4.95,f,2.51
100%,99%,f,t,t,300,t,4.84,t,2.99
100%,100%,t,t,t,425,t,4.9,f,0.61
100%,100%,f,t,t,725,t,5,f,0.7
100%,95%,f,t,t,171,t,4.73,f,0.44
100%,98%,t,t,t,149,t,4.97,f,2.33
100%,100%,t,t,t,158,t,4.75,t,2.41
100%,98%,t,t,f,113,t,4.81,f,2.2
100%,99%,t,t,t,282,t,4.85,f,3.18
100%,100%,t,t,t,155,t,4.97,f,2.81
100%,99%,t,t,t,123,t,4.72,f,4.7
100%,93%,f,t,t,285,t,4.5,t,0.57
100%,99%,t,t,t,201,t,4.95,f,2.42
100%,90%,t,t,f,279,t,4.86,f,2.11
60%,19%,f,t,t,230,t,5,f,0.31
100%,100%,f,t,t,229,t,4.79,t,1.01
100%,98%,f,t,t,120,t,4.54,t,1.82
100%,92%,t,t,t,350,t,5,f,0.26
100%,99%,t,t,t,757,t,5,t,0.12
90%,99%,t,t,t,514,t,5,t,1.43
100%,99%,t,t,t,412,t,4.9,t,0.29
100%,96%,t,t,t,449,t,4.6,f,0.57
100%,100%,f,t,t,303,t,4.88,t,0.63
100%,100%,t,t,t,510,t,4.95,f,3.19
60%,19%,f,t,t,225,t,4.33,f,0.14
100%,100%,f,t,t,224,t,4.79,t,0.87
100%,100%,f,t,f,449,t,4.7,f,0.67
100%,100%,t,t,t,135,t,4.9,t,1.31
100%,100%,f,t,t,130,t,4.5,f,0.12
98%,23%,f,t,t,262,t,4.88,f,0.8
100%,100%,f,t,f,181,t,4.85,f,2.31
100%,76%,f,t,t,242,t,5,t,0.41
100%,96%,f,t,t,78,t,4.5,t,0.79
100%,100%,f,t,t,375,t,4.67,f,0.24
100%,98%,t,t,t,57,t,4.89,f,1.33
